,whisky_id,category,price_tier,abv,smoky,peaty,spicy,herbal,oily,body,rich,sweet,salty,vanilla,tart,fruity,floral
2810,2810,12,3,0.32400000000000007,0.6,0.7000000000000001,0.5,0.2,0.5,0.4,0.4,0.3,0.6666666666666667,0.6,0.3,0.5,0.3157894736842105
2811,2811,5,2,0.28,0.2,0.0,0.6,0.1,0.3,0.5,0.6,0.7000000000000001,0.22222222222222224,0.7000000000000001,0.6,0.4,0.42105263157894735
2812,2812,13,2,0.30000000000000004,0.0,0.0,0.4,0.15,0.0,0.6,0.65,0.7000000000000001,0.0,0.25,0.1,0.3,0.0
2813,2813,5,4,0.30000000000000004,0.3,0.0,0.9,0.7000000000000001,0.1,0.6,0.6,0.6,0.11111111111111112,0.6,0.5,0.6,0.631578947368421
2814,2814,15,3,0.24,0.0,0.0,0.1,0.2,0.3,0.6,0.7000000000000001,0.8,0.22222222222222224,0.4,0.3,0.9,0.10526315789473684
2815,2815,14,2,0.20000000000000007,0.3,0.0,0.45,0.5,0.4,0.6,0.6,0.7000000000000001,0.0,0.4,0.3,0.45,0.21052631578947367
2816,2816,5,2,0.30000000000000004,0.2,0.0,0.7000000000000001,0.4,0.3,0.4,0.5,0.5,0.0,0.3,0.3,0.4,0.3157894736842105
2817,2817,5,2,0.30000000000000004,0.0,0.0,0.6,0.4,0.0,0.5,0.1,0.4,0.0,0.6,0.2,0.7000000000000001,0.3157894736842105
2818,2818,13,2,0.30000000000000004,0.1,0.0,0.7000000000000001,0.5,0.2,0.3,0.5,0.7000000000000001,0.0,0.6,0.5,0.8,0.631578947368421
2819,2819,12,3,0.32000000000000006,0.25,0.45,0.3,0.2,0.3,0.25,0.3,0.45,0.3888888888888889,0.45,0.5,0.65,0.3157894736842105
2820,2820,8,3,0.32000000000000006,0.0,0.0,0.25,0.35000000000000003,0.05,0.3,0.1,0.35000000000000003,0.05555555555555556,0.1,0.2,0.45,0.42105263157894735
2821,2821,8,3,0.32000000000000006,0.0,0.0,0.25,0.4,0.05,0.35000000000000003,0.3,0.25,0.05555555555555556,0.1,0.0,0.4,0.3684210526315789
2822,2822,10,3,0.20000000000000007,0.5,0.4,0.6,0.7000000000000001,0.3,0.5,0.5,0.5,0.4444444444444445,0.6,0.3,0.6,0.42105263157894735
2823,2823,20,2,0.20000000000000007,0.0,0.0,0.3,0.2,0.3,0.5,0.5,0.4,0.0,0.0,0.0,0.0,0.42105263157894735
2824,2824,15,3,0.20000000000000007,0.2,0.0,0.45,0.1,0.1,0.6,0.6,0.75,0.0,0.45,0.25,0.65,0.10526315789473684
2825,2825,20,2,0.4,0.0,0.0,0.75,0.85,0.25,0.45,0.45,0.4,0.0,0.1,0.25,0.35000000000000003,0.5263157894736842
2826,2826,0,2,0.3500000000000001,0.0,0.0,0.1,0.25,0.0,0.4,0.4,0.85,0.0,0.1,0.15,0.3,0.42105263157894735
2827,2827,1,2,0.20000000000000007,0.15,0.5,0.2,0.25,0.35000000000000003,0.55,0.6,0.75,0.22222222222222224,0.8,0.1,0.7000000000000001,0.631578947368421
2828,2828,1,5,0.20000000000000007,0.3,0.0,0.5,0.2,0.2,0.5,0.7000000000000001,0.5,0.11111111111111112,0.4,0.5,0.7000000000000001,0.21052631578947367
2829,2829,9,2,0.26,0.2,0.0,0.74,0.5,0.75,0.77,0.75,0.85,0.22222222222222224,0.8200000000000001,0.62,0.77,0.7157894736842105
2830,2830,12,2,0.20000000000000007,0.79,0.8300000000000001,0.71,0.65,0.74,0.77,0.7000000000000001,0.75,0.8,0.7000000000000001,0.6,0.67,0.7052631578947368
