,cost_rank,smoky,peaty,spicy,herbal,oily,full_bodied,rich,sweet,salty,vanilla,tart,fruity,floral
1013,4.0,20.0,0.0,80.0,50.0,40.0,70.0,80.0,40.0,10.0,60.0,0.0,40.0,20.0
1014,2.0,0.0,0.0,10.0,70.0,30.0,10.0,10.0,60.0,10.0,40.0,10.0,20.0,10.0
1015,3.0,0.0,0.0,80.0,60.0,20.0,40.0,20.0,60.0,10.0,60.0,10.0,60.0,40.0
1016,5.0,5.0,0.0,65.0,10.0,15.0,65.0,60.0,60.0,5.0,40.0,35.0,75.0,15.0
1017,2.0,0.0,0.0,70.0,40.0,20.0,30.0,30.0,80.0,20.0,90.0,10.0,40.0,20.0
1018,4.0,60.0,50.0,70.0,40.0,70.0,80.0,80.0,80.0,15.0,70.0,50.0,80.0,50.0
1019,4.0,0.0,0.0,70.0,40.0,20.0,80.0,90.0,90.0,10.0,70.0,20.0,90.0,60.0
1020,4.0,0.0,0.0,50.0,20.0,30.0,80.0,80.0,70.0,40.0,60.0,50.0,80.0,50.0
1021,4.0,30.0,0.0,80.0,10.0,20.0,90.0,90.0,70.0,10.0,60.0,10.0,60.0,50.0
1022,2.0,50.0,0.0,60.0,30.0,40.0,70.0,80.0,70.0,20.0,70.0,20.0,50.0,50.0
1023,5.0,20.0,0.0,60.0,20.0,40.0,55.0,55.0,75.0,10.0,50.0,50.0,80.0,45.0
1024,5.0,30.0,30.0,50.0,20.0,40.0,70.0,70.0,70.0,30.0,40.0,40.0,80.0,40.0
1025,4.0,20.0,0.0,40.0,30.0,40.0,45.0,45.0,70.0,20.0,40.0,40.0,70.0,10.0
1026,5.0,0.0,0.0,20.0,0.0,15.0,70.0,70.0,75.0,5.0,40.0,20.0,50.0,0.0
1027,4.0,15.0,0.0,25.0,0.0,20.0,70.0,70.0,70.0,10.0,15.0,10.0,40.0,0.0
1028,4.0,80.0,60.0,10.0,20.0,25.0,40.0,60.0,70.0,15.0,20.0,15.0,30.0,10.0
1029,3.0,20.0,0.0,70.0,30.0,30.0,50.0,70.0,70.0,10.0,80.0,20.0,40.0,50.0
1030,3.0,90.0,50.0,30.0,70.0,50.0,50.0,50.0,50.0,30.0,60.0,20.0,60.0,70.0
1031,1.0,30.0,0.0,70.0,40.0,30.0,60.0,70.0,70.0,20.0,80.0,10.0,70.0,70.0
