,link,image,name,avr_rating,category,location
50,/spirits/10th-mountain-cask-strength-rye,"https://ip-distiller.imgix.net/images/spirits/a7b8aee0-b2a4-0138-2317-7283bbcd0a72/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",10th Mountain Cask Strength Rye,4.25,Wheat Whiskey,"Colorado, USA"
51,/spirits/glen-scotia-10-year-peated,"https://ip-distiller.imgix.net/images/spirits/daa41820-b298-0138-df52-5e3de6810365/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Glen Scotia 10 Year Peated,3.78,Peated Single Malt,"Campbeltown, Scotland"
52,/spirits/maker-s-mark-private-select-twm-chucktown,"https://ip-distiller.imgix.net/images/spirits/eab86900-b27b-0138-230f-7283bbcd0a72/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Maker's Mark Private Select TWM Chucktown,,Bourbon,"Kentucky, USA"
53,/spirits/johnnie-walker-blue-label-200th-anniversary,"https://ip-distiller.imgix.net/images/spirits/90f97d90-b264-0138-df48-5e3de6810365/johnnie_walker_blue_label_200th_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Johnnie Walker Blue Label 200th Anniversary,4.5,Peated Blend,Scotland
54,/spirits/ezra-brooks-distiller-s-collection-single-barrel-bourbon-7167056-liquor-barn-2,"https://ip-distiller.imgix.net/images/spirits/17b08820-b25c-0138-4b3b-3677f875dd2a/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Ezra Brooks Distiller's Collection Single Barrel Bourbon #7167056 (Liquor Barn #2),4.09,Bourbon,"Kentucky , USA"
55,/spirits/michel-couvreur-the-unique-whiskey,"https://ip-distiller.imgix.net/images/spirits/cd369b50-b25a-0138-df47-5e3de6810365/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Michel Couvreur The unique whiskey,4.38,Other Whiskey,"Old Meldrum, Scotland"
56,/spirits/elkins-colorado-winter,"https://ip-distiller.imgix.net/images/spirits/d9d4bc20-b1e2-0138-4b2c-3677f875dd2a/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Elkins Colorado Winter,2.88,Flavored Whiskey,USA
57,/spirits/sapling-maple-bourbon,"https://ip-distiller.imgix.net/images/spirits/f69c2a10-b1cb-0138-df28-5e3de6810365/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Sapling Maple Bourbon,3.75,Bourbon,USA
58,/spirits/broken-bell-small-batch-bourbon-whiskey,"https://ip-distiller.imgix.net/images/spirits/6272c6f0-b1c8-0138-4b21-3677f875dd2a/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Broken Bell Small Batch Bourbon Whiskey,3.25,Bourbon,USA
59,/spirits/smokehead-rum-riot,"https://ip-distiller.imgix.net/images/spirits/045e8550-b1ba-0138-df1d-5e3de6810365/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Smokehead Rum Riot,3.75,Peated Single Malt,"Islay, Scotland"
